"number","title","pageid","namespace","length","touched","Wikidata"
"1","शेन_वॉर्न","908","","5986","20200920214245","Q555240"
"2","हिरोडोटस","1281","","1369","20200909153607","Q26825"
"3","शिबू_सोरेन","1403","","5549","20200615172031","Q3630358"
"4","दमाल_कृष्णास्वामी_पट्टम्माल","1454","","6037","20200302222958","Q464887"
"5","हरिजन","1614","","2841","20200310092332","Q3633100"
"6","विद्यापति","1625","","29894","20200615160704","Q2429461"
"7","भारतीय_राज्यों_के_वर्तमान_मुख्यमंत्रियों_की_सूची","1804","","55915","20200901103003","Q269330"
"8","कर्ण_सिंह","1849","","12531","20200616045143","Q1234662"
"9","भारतीय_व्यक्तित्व","1860","","17591","20200614025253","Q3272701"
"10","सुभाष_काक","1885","","19517","20200702091648","Q92830"
"11","सैयद_सिब्ते_रज़ी","2152","","4880","20200615201351","Q3633497"
"12","भारतीय_अमरीकी","2161","","3450","20200307103728","Q12443887"
"13","मुल्कराज_आनंद","2175","","3399","20200622133451","Q732434"
"14","स्वामी_चिन्मयानंद","2196","","15503","20200615204609","Q173273"
"15","निर्मल_वर्मा","2205","","13279","20200915145915","Q1993428"
"16","मिशेल_फूको","2279","","31548","20200615112148","Q44272"
"17","दिलीप_वेंगसरकर","2388","","5515","20200921081221","Q2760800"
"18","बिरसा_मुंडा","2413","","11749","20200920163812","Q2721975"
"19","जूलिया_राबर्ट्स","2435","","1150","20200614215637","Q40523"
"20","सुमित_सरकार","2445","","1521","20200925170247","Q12458039"
"21","तिलका_माँझी","2589","","23768","20200614235320","Q7802163"
"22","मुलायम_सिंह_यादव","2730","","38944","20200902114804","Q2736550"
"23","कविता_कृष्णमूर्ति","2734","","7927","20200415050423","Q467315"
"24","भीमसेन_जोशी","2745","","5327","20200925092952","Q121077"
"25","जयपाल_सिंह_मुंडा","2916","","8907","20200830110509","Q1806284"
"26","बाबूलाल_मरांडी","2928","","10139","20200615065949","Q4838091"
"27","दोराबजी_टाटा","2952","","6974","20200302173946","Q1243687"
"28","भारतीय_खिलाड़ी","3055","","1081","20200302133926","Q15670898"
"29","भिवानी","3086","","15133","20200820005556","Q796669"
"30","ज़्याक_शिराक","3097","","4165","20200307123024","Q2105"
"31","विक्रम_सेठ","3100","","5296","20200615155825","Q379762"
"32","ए॰_पी॰_जे॰_अब्दुल_कलाम","3103","","100294","20200925020819","Q9513"
"33","कपिलदेव","3169","","12216","20200524164947","Q558189"
"34","नारायण_कार्तिकेयन","3217","","4012","20200410043948","Q82936"
"35","बजरंग_दल","3223","","12798","20200920020824","Q2723747"
"36","पॉल_वुल्फोवित्ज़","3254","","6592","20200305120823","Q15689789"
"37","पोप","3280","","3840","20200522083133","Q19546"
"38","पोप_बेनेडिक्ट_XVI","3322","","1206","20200303120312","Q2494"
"39","कल्पना_चावला","3324","","35215","20200903234951","Q237879"
"40","सैयद_मुजतबा_अली","3346","","652","20181016182516","Q7660404"
"41","हु_जिन्ताओ","3363","","3985","20200303030841","Q15029"
"42","सानिया_मिर्ज़ा","3366","","51234","20200901185448","Q132147"
"43","अमीर_ख़ुसरो","4574","","18351","20200926064921","Q207817"
"44","सत्य_के_प्रयोग","4675","","2404","20200615181309","Q2719827"
"45","सुनील_गावस्कर","4729","","12001","20200615194330","Q558182"
"46","यहूदी","4983","","12128","20200615122839","Q7325"
"47","राजेन्द्र_यादव","5094","","13726","20200615132154","Q3635832"
"48","डायन","5137","","1965","20200905081543","Q7728601"
"49","हनुमानगढ़","5252","","13583","20200811045019","Q1707848"
"50","मुग़ल_साम्राज्य","5331","","59647","20200825064543","Q33296"
"51","इरफ़ान_पठान","5507","","8278","20200616022116","Q1746795"
"52","साबु_दस्तगीर","5794","","765","20200615185612","Q12456579"
"53","बिस्मिल्ला_ख़ाँ","5856","","9820","20200831111936","Q379707"
"54","सर्वेपल्लि_राधाकृष्णन","5990","","40008","20200907184448","Q156349"
"55","चक्रवर्ती_राजगोपालाचारी","5993","","16695","20200912044017","Q378404"
"56","भगवान_दास","5998","","34547","20200615082354","Q854704"
"57","मोक्षगुंडम_विश्वेश्वरय्या","6000","","31263","20200615120947","Q741700"
"58","तेनजिन_ग्यात्सो","6005","","20294","20200805191853","Q17293"
"59","धोंडो_केशव_कर्वे","6022","","13369","20200303101159","Q3518496"
"60","पुरुषोत्तम_दास_टंडन","6026","","74565","20190823132017","Q983057"
"61","वी॰_वी॰_गिरि","6075","","14806","20200831100427","Q312557"
